application_id,visitor_id,application_date,status,credit_score,income,loan_amount,product_type,source_channel
804188e3-1f72-4a56-9ce6-4baf0964ccb2,24212,2024-01-10,approved,559.0,59634.0,6512.0,personal_loan,referral
4fb1cdc2-ed36-4f1f-914c-ceae6bb58375,23401,2024-02-21,approved,601.0,77134.0,46931.0,credit_card,direct
54fae82c-f436-4185-a727-d19d755e984b,21978,2024-03-08,rejected,755.0,88031.0,5720.0,mortgage,ads
b6eadd87-2688-4583-b9fa-0f06e7d32630,28047,2024-02-27,rejected,684.0,99091.0,21557.0,credit_card,email
16e2d4bd-4279-43b2-b8fd-64e32597f18b,28907,2024-03-30,rejected,668.0,84741.0,1000.0,mortgage,email
87c42344-50dd-4fb0-96ee-b0d6d815f884,23425,2024-03-04,approved,659.0,88063.0,25868.0,mortgage,email
e9b19882-ee49-4954-9723-d1a8ad0c2594,21222,2024-02-14,approved,664.0,83107.0,2910.0,mortgage,email
5547cc76-a600-48df-9ecb-e3433e22be8f,23110,2024-02-03,rejected,623.0,78556.0,41297.0,mortgage,referral
a92b3ac3-f1f4-48ba-b33d-9a8b84e882a3,18645,2024-01-16,submitted,717.0,64881.0,33704.0,personal_loan,referral
e814c6e6-c1dd-438e-a589-17d205d144ef,14307,2024-01-11,submitted,700.0,68659.0,25809.0,personal_loan,ads
0bbab348-fc64-4fcb-83d8-a227e6a4e188,12037,2024-03-07,submitted,587.0,111099.0,24419.0,credit_card,ads
ad1ed737-b697-4e19-af34-cb13ac4ed9fa,13628,2024-02-07,submitted,650.0,110705.0,26930.0,mortgage,direct
673179d5-9e66-45da-9412-11a62af2fd98,16114,2024-03-04,submitted,602.0,69915.0,1000.0,credit_card,referral
b67afe2f-7348-45a0-bbd4-dcc74ef81d3e,20278,2024-02-20,submitted,,96270.0,29766.0,personal_loan,email
cea55db2-1d85-462b-917c-f64f2e94f5f8,16780,2024-01-22,submitted,692.0,112200.0,37786.0,personal_loan,referral
0abb2393-052e-4282-9e60-844a32cddc34,24199,2024-03-16,submitted,751.0,85196.0,18402.0,personal_loan,direct
24857ea5-b04d-4326-922f-b2fbc198ce1e,12658,2024-02-26,rejected,624.0,118621.0,30465.0,personal_loan,email
420b2879-9797-48ef-8265-2347428eb866,23932,2024-03-24,rejected,783.0,73425.0,22648.0,credit_card,referral
0fb0e3d3-7b07-4102-90fa-1a96088cb813,11871,2024-02-03,rejected,682.0,108096.0,43710.0,personal_loan,ads
d994ade0-4044-4eb2-97c8-0261fe8308cb,11841,2024-03-14,approved,698.0,147197.0,33900.0,credit_card,email
e6bdf1c6-aa98-4217-8d12-087e241c6ea7,12303,2024-02-02,rejected,661.0,90868.0,41340.0,mortgage,ads
5687aed7-2ce7-4f42-a4f0-b540e4676ec2,23815,2024-03-20,submitted,704.0,122034.0,15207.0,mortgage,referral
76903c86-bfd3-4a2f-9b88-01f9fae06089,27171,2024-02-27,rejected,753.0,122987.0,64528.0,personal_loan,ads
d372f726-e384-46f5-934f-47e3e1427cbb,29921,2024-03-19,submitted,647.0,102439.0,9562.0,mortgage,referral
868be97e-a5da-4dd7-9cf1-854c8264238e,25572,2024-01-12,submitted,630.0,130139.0,20534.0,mortgage,ads
ded196f4-6d42-426d-95b0-adc83a09c8e4,24562,2024-02-21,submitted,750.0,86513.0,52637.0,personal_loan,ads
dae1df37-109f-46b9-b97b-067c04593caa,18756,2024-01-15,submitted,567.0,99810.0,18581.0,credit_card,direct
94f1e9ca-8fe4-4910-aac8-3da9863e04cc,23046,2024-03-02,rejected,697.0,100949.0,38604.0,mortgage,direct
7866d82e-465e-4bf2-a76c-34fade54972d,21774,2024-01-11,approved,599.0,95220.0,10560.0,mortgage,referral
9a5fc4ef-161b-41e7-ac3b-2d36e03018e9,27861,2024-01-01,submitted,,72522.0,28517.0,mortgage,direct
43447f38-39d6-445f-8e57-7f364c97101e,11617,2024-01-23,approved,628.0,111816.0,1000.0,personal_loan,referral
9e5dd045-a603-4982-b153-0ae45771befa,26616,2024-03-30,rejected,600.0,101795.0,32787.0,mortgage,direct
c0938d33-c003-4ce7-b295-08f61a7ac460,19670,2024-02-26,submitted,743.0,64577.0,7914.0,credit_card,referral
ffdd61a4-2ac9-4d8e-b021-c2160fddcbb8,22494,2024-02-25,approved,691.0,70649.0,51661.0,mortgage,direct
b52c61da-e994-4c28-92ea-4d626a4f94c3,26203,2024-03-23,rejected,586.0,92812.0,32030.0,credit_card,ads
f51e1271-b968-48c4-afe0-7f0802f3cf40,18456,2024-02-01,rejected,708.0,70347.0,43618.0,mortgage,referral
f33b28af-4b41-4ab6-80d1-260c3f106ef9,19157,2024-01-02,rejected,697.0,97640.0,32527.0,mortgage,direct
c2559733-366c-4b14-b885-bc16ba0bd507,15946,2024-03-16,approved,764.0,109221.0,31595.0,mortgage,direct
9cfb1967-48dd-476b-8bb6-6dd51ad8cead,24090,2024-01-07,approved,748.0,140143.0,22099.0,credit_card,email
a26541b9-17f3-4576-b1ab-b271a7ca1298,23264,2024-01-15,submitted,619.0,73855.0,32526.0,mortgage,referral
59f86e91-b5fb-4815-ab29-fba2b5ccb0a5,20153,2024-03-21,approved,676.0,38678.0,9885.0,personal_loan,ads
8af78c6e-4091-46e3-a75c-a63f48a847e4,12468,2024-02-15,submitted,689.0,66703.0,46168.0,credit_card,email
7f0118ff-bd2a-4aff-8878-976096938f11,24638,2024-03-03,submitted,771.0,83255.0,49128.0,personal_loan,email
80ec26af-032d-46bd-a58d-24da1b479b02,16490,2024-01-29,submitted,671.0,84733.0,24635.0,credit_card,ads
85cd64bf-ca73-4266-ac63-a923e2e61250,26526,2024-01-02,submitted,690.0,79738.0,52829.0,mortgage,email
d27bce75-049d-4490-83fb-f865ac539cbd,14389,2024-02-07,approved,700.0,124572.0,20287.0,personal_loan,referral
6d658a7c-8342-442f-a1e2-7b3643c0e943,25300,2024-02-15,submitted,716.0,84428.0,1000.0,mortgage,email
f1936a82-8f5f-4064-9400-88e9349a18c2,11954,2024-01-19,submitted,683.0,106750.0,17758.0,personal_loan,ads
7ee2bcf6-8a0a-4e2a-9e7a-5daac0e9c60b,23531,2024-01-25,submitted,742.0,70364.0,57594.0,personal_loan,email
a5a3ddf2-06df-47d2-8d7a-96fdb5f9f0be,18714,2024-01-11,submitted,687.0,53517.0,50165.0,mortgage,ads
3c952bc4-5f36-4714-aa92-a9d6b189906c,22752,2024-03-16,rejected,668.0,102873.0,17236.0,mortgage,referral
a2cc7c44-df54-4560-b90a-aff3e75c6750,15603,2024-01-13,rejected,724.0,94335.0,14680.0,credit_card,ads
1e90baf2-f717-4a17-8351-ce88904c7931,17342,2024-01-26,rejected,809.0,113054.0,26679.0,personal_loan,email
6df3b6ad-295a-4b1a-98b1-84a40134d52a,20218,2024-02-02,approved,601.0,110380.0,13056.0,personal_loan,direct
a4a26b49-737e-42c0-970e-74256d4fe5ae,26497,2024-03-25,submitted,712.0,101438.0,54330.0,credit_card,referral
bc539942-e7fa-46b5-9bb0-fcfb2d61718a,22538,2024-01-27,rejected,780.0,121805.0,1000.0,credit_card,email
