account_id,application_id,account_open_date,account_type,initial_deposit,kyc_status
7e01f493-f720-42f5-a7ef-52c28b8907db,a938a7bc-e1d7-4c40-a772-e51c9b5b5166,2024-03-11,checking,7013.0,pending
68f85ce6-1dbc-4015-8d0a-da475a339c48,fcf7ab68-e3cd-4cbb-b974-9992f4eeb8b6,2024-03-05,savings,3299.0,pending
6ff9938a-1230-4fa6-89ff-5a8804b1a9a8,18f569cc-6a00-472f-9bcc-0ecf0a284f84,2024-03-14,loan,8576.0,pending
16d38b02-93b0-4067-aef5-69afc525c222,483a18e1-841b-4976-b723-34a9ed3f5208,2024-04-07,checking,6844.0,failed
d4b49aeb-a409-4b35-a564-4eb6875655ec,73ad6553-7d08-48dc-bc9b-e355aafee9a5,2024-01-21,checking,4253.0,failed
8580134c-ae24-46a6-adc0-adfddc464c63,40e90fa6-3205-4db2-b7af-28ef245742a9,2024-01-22,checking,7279.0,failed
61717f04-4d05-462d-a1b4-3e543ba869a0,3af5edf2-86f6-4e0e-984f-cd4afa9fbda0,2024-04-20,checking,8255.0,verified
82067a23-557c-4666-8236-5807c6fc33a3,92457b30-8877-475a-bd63-a9a3e11131b1,2024-02-01,checking,-1555.0,verified
9da378c8-b048-470c-af1e-1fac90797725,2046d966-e9eb-4cd0-a9f5-1722a5618f4a,2024-03-08,savings,1452.0,verified
730d909d-93ba-4880-b34a-e0f7413d37bc,243c972b-325a-40f9-a17c-6b3adb93c299,2024-02-14,checking,8923.0,pending
8acf20a2-78e0-4a48-823f-a285cf37af86,8aa25735-dea1-40ce-9fb5-0e75c7859a9e,2024-02-14,loan,4059.0,verified
b7a73de5-9325-4e1d-a5ae-ed74a6e04b88,6a86df0d-5702-4ab1-98d6-5d35e838251b,2024-02-09,savings,1425.0,failed
5db543aa-e5ab-4546-80ac-c9787b8485db,bf1b69f4-ffb0-4a95-9c9f-6263e0e29e06,2024-04-18,savings,9638.0,failed
3e6cd89d-6d18-4318-bece-d9f7c1698a9e,0e907cf4-7cef-4fe1-a5e3-8a1714b4a73c,2024-04-21,checking,11844.0,pending
ee77bd2f-335d-4041-88a0-fafa85fadea0,dcccdfef-5c74-4568-b50a-5c00f87640ee,2024-03-06,savings,8217.0,verified
4f22001d-b2f3-4ca0-b347-b8bcecd2b7c2,42f7401a-1fd3-49e0-9499-43bdfa0e2194,2024-02-24,loan,-622.0,failed
e03a24f6-e991-4164-8f2e-5a8f35a7525e,fde00b5b-ea83-4d4e-9df2-151eff250b11,2024-03-26,checking,4924.0,failed
96031f83-52f8-4e79-a6be-d35d24e85d22,f8a88596-aa0f-4832-adc8-660a333d4db1,2024-03-07,savings,6842.0,verified
a1e02281-360e-4a3a-99af-bde19a10f804,6a9579f0-1063-4484-b088-40aa60c543dd,2024-02-05,checking,1146.0,verified
17df4d8c-6b4f-48de-a373-46e28389ac29,10b62bb1-1b46-44ea-9fbd-04ea4c1e203b,2024-03-02,checking,2385.0,verified
e303ea5a-22f6-45f2-ab4b-48543cf6ee19,3ebe3aa3-e05e-40a9-b250-89965dab014a,2024-02-20,loan,3611.0,pending
5d769d3c-1d04-404f-8836-903784191b2d,a13652e7-04a2-4204-bb53-7c3289c2413e,2024-03-04,checking,7153.0,verified
29be8f7b-7f76-4a65-9cad-682c681f6b32,0fcf8a20-5421-40d7-ae97-242f7e82a495,2024-02-12,loan,7612.0,failed
da9ef94f-8eb9-4c3f-955e-8af84e69433f,5ba96bf4-f48a-48b4-bfe9-528b0bbad53e,2024-04-22,loan,3409.0,verified
a377b789-99bb-48b3-bf59-2748c35a95d7,61ff2ef2-b1be-44d2-b97f-8ce23de55fd7,2024-01-07,savings,8292.0,failed
4d1ea9d3-896e-406c-bc08-362bb3a7f18a,99ef7d44-8cdb-4934-8580-18a5833815ae,2024-03-31,loan,1260.0,verified
f8812453-951c-40d7-8f92-13b11d16e842,9d067e1c-3180-4095-aa3d-e65b94eaf91c,2024-03-24,checking,8452.0,pending
f5f5d6d0-9614-4619-8d88-462825459d4d,21bea33f-871f-4df1-aef8-78c7bb876e44,2024-04-24,loan,9156.0,pending
c35eff9f-d9d7-451e-b029-48f4de5d5645,2e93eb3e-a00a-4510-bf8d-830f1b185a5f,2024-02-21,checking,4850.0,failed
fbb3dc07-b137-4494-8232-23f7f9f56602,71eaf363-484a-4985-afe3-5a52cad6c4f9,2024-04-29,savings,9354.0,failed
7be59a84-895a-42f4-bdb3-3f7092ca9492,6f3035d6-f0dd-4ec4-b554-245be8a9d257,2024-01-28,loan,5944.0,pending
27494c6e-c127-4302-bf40-a63c67d0b92f,c8d8a903-435a-4ec4-b95b-69b2d11ac000,2024-02-07,savings,8800.0,verified
a66a7c38-b291-45c6-9e61-4227a8659b0e,28859873-b09c-45b8-9a24-3636af063fb0,2024-02-04,savings,-689.0,pending
ab407f93-54b2-417c-8331-377646d9d9da,7f3c6a6f-f807-4466-8fff-97cfe3bb2323,2024-03-02,loan,8082.0,failed
93d82a70-3f0b-4fbf-bbc6-e51b16849ae4,1d46db7d-214e-49ac-a47d-84f5a968727b,2024-01-04,loan,8715.0,failed
ae5667f8-691f-4467-984c-67f419f5140b,37c19bd5-8b66-48cd-b54e-56d651a21e6b,2024-03-17,savings,3778.0,verified
171a923c-3e3b-4549-881c-c9bdabf6f318,4a9b6212-041d-4710-81c8-9aabb5023b93,2024-02-06,savings,6699.0,verified
b5746bcd-ba1d-4f5a-9e8b-b2b4fa0550f7,0b3f5f54-3621-44e4-91eb-78e4d5834944,2024-02-08,loan,7381.0,pending
3b069803-c924-41f3-97e4-178beb8169b4,7309d9b7-bd0f-417b-9426-6d2e1eeca02b,2024-02-10,savings,8746.0,pending
0f145104-6cfc-4b92-841a-e69decf25805,16c1b7da-dea8-4803-9247-0e7d907ae07a,2024-01-25,checking,6216.0,pending
2b1bc266-de03-4a3c-a29e-3571854bbb3e,b5659d4f-a3d7-49da-a3f5-34fa6d257f5d,2024-03-06,loan,6325.0,pending
9cc5c3db-abd6-42c0-a45d-36b1c50a8dab,84443281-f782-457c-ba29-85a874f04a5a,2024-02-05,checking,10297.0,verified
b92c94a8-bf40-4801-8b98-8f5deb447972,18a889bb-9c0d-4656-bdb0-d0d323c366bd,2024-01-09,savings,5296.0,verified
12a23e44-1308-4578-83cb-8709f73fb28d,c0c24441-5760-43fa-b94d-fa5eed36db95,2024-03-04,checking,3986.0,failed
2920a132-e79d-4743-9e68-9bbceaa0a3c0,95b2abce-c627-4eb9-b831-9f0b55b8a5de,2024-02-23,checking,8879.0,pending
61416e64-bd96-4d11-8476-e8f01e0d3fea,372d31a5-ce06-4f0e-95b5-e3729b88d60e,2024-02-25,loan,6204.0,failed
866eae37-ed37-46f7-aed4-ffb77b220262,20eefe02-6b90-41d8-a16e-2ac1751a3f8d,2024-02-07,checking,4980.0,verified
fb942e33-f9a8-4144-8a32-9318afe25875,ec18e414-e7eb-478b-b038-9c56e2c57e5e,2024-02-10,loan,4792.0,verified
81a436f2-b0c9-403e-b262-ea045d8704ab,c76e122f-b1ec-4941-b227-2373d82f6574,2024-02-08,savings,5859.0,verified
c4560c42-1a0b-4ded-8854-0b4c63f8f72e,34b829cd-1527-4b70-b007-78e059e90091,2024-01-17,loan,5820.0,failed
